entity,rdf:type,title,date,theme,hasAuthor,isRealisedThrough,typeOfRedaction,language,hasCreator,name,personDate,enjambment,enjambmentOn,lineNumber,metre,numberOfSyllables,redactionUri,stanzaNumber,text
https://summer-school.uned.es/resources/Obra#2cf82a2b-a960-460f-82d4-f5744ad7800e,summerOnto:Obra,Oda I. Vida Retirada,1570 aprox,la vida sencilla,https://summer-school.uned.es/resources/Persona#2cf82a2b-a960-460f-82d4-f5744ad7800e,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,,español,,,,,,,,,,,
https://summer-school.uned.es/resources/Persona#2cf82a2b-a960-460f-82d4-f5744ad7800e,summerOnto:Persona,,,,,,,,,Fray Luis de León,1527-1591,,,,,,,,
https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,summerOnto:Redaccion,Oda I. Vida Retirada,2011,,,,analitica,español,https://summer-school.uned.es/resources/Persona#2cf82a2b-a960-460f-82d4-f5744ad7800f,,,,,,,,,,
https://summer-school.uned.es/resources/Persona#2cf82a2b-a960-460f-82d4-f5744ad7800f,summerOnto:Persona,,,,,,,,,Nico,,,,,,,,,
https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7938,summerOnto:Redaccion,Oda I. Vida Retirada,2018,,,,analitica,español,https://summer-school.uned.es/resources/Persona#2cf82a2b-a960-460f-82d4-f5744ad7800b,,,,,,,,,,
https://summer-school.uned.es/resources/Persona#2cf82a2b-a960-460f-82d4-f5744ad7800b,summerOnto:Persona,,,,,,,,,Simón Valcarcel Martínez,,,,,,,,,
https://summer-school.uned.es/resources/Linea#6e33167a-eaca-4ecf-b7fa-a22c082884d6,summerOnto:Linea,,,,,,,,,,,,,1.0,---+-+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,1.0,¡Qué descansada vida
https://summer-school.uned.es/resources/Linea#0870beea-e30a-4b56-904d-1c85a1b56049,summerOnto:Linea,,,,,,,,,,,,,2.0,---+----+-+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,1.0,"la del que huye del mundanal ruïdo,"
https://summer-school.uned.es/resources/Linea#a039455e-dbf7-4c61-9e71-fc5d4084d28c,summerOnto:Linea,,,,,,,,,,,sirrematic,ADJ NOUN,3.0,++----+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,1.0,y sigue la escondida
https://summer-school.uned.es/resources/Linea#0a096b36-e865-4485-a5eb-6db426b669b1,summerOnto:Linea,,,,,,,,,,,,,4.0,+--+-++-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,1.0,"senda, por donde han ido"
https://summer-school.uned.es/resources/Linea#5691d6b2-28c6-49a2-ba56-da4a57afaeb9,summerOnto:Linea,,,,,,,,,,,,,5.0,-+-+----+-++-,13.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,1.0,los pocos sabios que en el mundo han sido;
https://summer-school.uned.es/resources/Linea#6e65dfe5-f3cb-4de9-b250-ff8ef7d6d0e1,summerOnto:Linea,,,,,,,,,,,sirrematic,ADP NOUN,6.0,-+--+--+-,9.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,2.0,Que no le enturbia el pecho
https://summer-school.uned.es/resources/Linea#3297235e-51e3-4f34-b10c-55f7287ba29a,summerOnto:Linea,,,,,,,,,,,,,7.0,---+-+---+-,11.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,2.0,"de los soberbios grandes el estado,"
https://summer-school.uned.es/resources/Linea#a278f764-310a-43ca-9ebf-4fdc8ac6cc3d,summerOnto:Linea,,,,,,,,,,,,,8.0,+--+-+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,2.0,ni del dorado techo
https://summer-school.uned.es/resources/Linea#1e10f20c-37d9-40ea-b1a3-534e0175b354,summerOnto:Linea,,,,,,,,,,,sirrematic,ADP ADJ,9.0,--+---+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,2.0,"se admira, fabricado"
https://summer-school.uned.es/resources/Linea#6031f95a-f136-4865-8cea-6cd48ffacee9,summerOnto:Linea,,,,,,,,,,,,,10.0,-+-+--+---+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,2.0,"del sabio Moro, en jaspe sustentado!"
https://summer-school.uned.es/resources/Linea#68d43462-8f7a-413a-8b50-05de63c3dc38,summerOnto:Linea,,,,,,,,,,,,,11.0,++---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,3.0,No cura si la fama
https://summer-school.uned.es/resources/Linea#a8427b19-053a-44bb-8681-a7aa3a26e592,summerOnto:Linea,,,,,,,,,,,,,12.0,+--+-+---+-,11.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,3.0,"canta con voz su nombre pregonera,"
https://summer-school.uned.es/resources/Linea#ca0deb55-5f31-4ff0-88fb-4492e707fbb5,summerOnto:Linea,,,,,,,,,,,,,13.0,++----+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,3.0,ni cura si encarama
https://summer-school.uned.es/resources/Linea#f6293727-d3bc-4b33-992d-4773b21a2961,summerOnto:Linea,,,,,,,,,,,,,14.0,-+---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,3.0,la lengua lisonjera
https://summer-school.uned.es/resources/Linea#f671f7af-d842-45ac-82e8-b1efac143bcf,summerOnto:Linea,,,,,,,,,,,,,15.0,---+---+-+-,11.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,3.0,lo que condena la verdad sincera.
https://summer-school.uned.es/resources/Linea#7c2bea99-931f-4665-bc3b-50c9eb56c973,summerOnto:Linea,,,,,,,,,,,,,16.0,-+----+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,4.0,¿Qué presta a mi contento
